Predicate,avgObjBind,avgSubjBind
"<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>",1.8572,847.7708
"<http://www.w3.org/2000/01/rdf-schema#label>",1.5338,1.2519
"<http://xmlns.com/foaf/0.1/homepage>",1.0358,1.263
"<http://dbpedia.org/ontology/location>",1.6878,10.1952
"<http://dbpedia.org/ontology/city>",1.3898,3.4747
"<http://dbpedia.org/property/nativename>",1.0460921843687374,1.0175438596491229
"<http://dbpedia.org/property/iata>",1.0,1.0
"<http://dbpedia.org/ontology/iataLocationIdentifier>",1.0002512247205124,1.0586280244615793
"<http://dbpedia.org/property/cityServed>",1.0135135135135136,1.0344827586206897
"<http://dbpedia.org/ontology/abstract>",3.94,1.0005
"<http://dbpedia.org/ontology/thumbnail>",1.0,1.4582
"<http://xmlns.com/foaf/0.1/depiction>",1.0013,1.2385
"<http://www.w3.org/2003/01/geo/wgs84_pos#lat>",1.0145,1.2228
"<http://www.w3.org/2003/01/geo/wgs84_pos#long>",1.0215,1.0004
"<http://dbpedia.org/ontology/wikiPageRedirects>",1.0,2.8548
"<http://dbpedia.org/ontology/populationTotal>",1.0059,13.5918
"<http://dbpedia.org/property/redirect>",1.0,2.0
"<http://dbpedia.org/property/disambiguates>",0.0,0.0
"<http://dbpedia.org/ontology/wikiPageID>",1.0,1.0
"<http://dbpedia.org/property/name>",2.2643,2.071
"<http://dbpedia.org/ontology/genre>",1.8419,56.9413
"<http://dbpedia.org/property/artist>",1.2518,2.0688
"<http://purl.org/dc/terms/subject>",3.4725,29.1731
"<http://dbpedia.org/property/latd>",1.0003,12.7717
"<http://dbpedia.org/property/longm>",1.0001,474.3808777429467
"<http://dbpedia.org/property/longd>",1.0001,12.69
"<http://dbpedia.org/property/latm>",1.0001,455.1218045112782
"<http://dbpedia.org/property/lats>",1.0004,40.12846303158638
"<http://dbpedia.org/property/longs>",1.0005,39.92672641012125
"<http://dbpedia.org/property/latns>",1.0,5020.478873239436
"<http://dbpedia.org/property/longew>",1.0,4500.898734177215
"<http://www.w3.org/2000/01/rdf-schema#comment>",3.7759,1.0013
"<http://xmlns.com/foaf/0.1/isPrimaryTopicOf>",1.0,1.0
"<bif:contains>",-1.0,-1.0
"<http://www.w3.org/2002/07/owl#sameAs>",4.5244,1.0004
"<http://www.w3.org/2004/02/skos/core#broader>",2.4889,9.3226
"<http://xmlns.com/foaf/0.1/name>",1.1875,1.2681
"<http://www.w3.org/2000/01/rdf-schema#range>",1.0,12.563106796116505
"<http://dbpedia.org/property/viaf>",1.0,1.0129870129870129
"<http://dbpedia.org/property/starring>",2.6341637010676155,1.3086
"<http://dbpedia.org/ontology/wikiPageDisambiguates>",7.4832,1.0737
"<http://dbpedia.org/ontology/birthPlace>",1.9446,14.1542
"<http://dbpedia.org/ontology/starring>",3.6997,5.7998
"<http://dbpedia.org/property/released>",1.073,11.779265813703217
"<http://dbpedia.org/ontology/birthDate>",1.4234,16.1254
"<http://dbpedia.org/property/wikiPageUsesTemplate>",0.0,0.0
"!<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>",1.1079,1.0
"<http://dbpedia.org/ontology/country>",1.0556,217.35603277762078
"<http://www.w3.org/2000/01/rdf-schema#subClassOf>",1.0031,30.8513
"<http://www.openlinksw.com/schemas/bif#contains>",0.0,0.0
"<http://dbpedia.org/property/taxon>",1.0031,1.003
"<http://www.w3.org/2000/01/rdf-schema#domain>",1.0,9.0
"<http://dbpedia.org/ontology/occupation>",1.7199,4.0559
"<http://dbpedia.org/ontology/party>",1.1598,14.218366688185926
"<http://dbpedia.org/property/associatedBands>",1.0,1.0
"<http://dbpedia.org/property/imgCapt>",1.024866785079929,1.0377697841726619
"<http://dbpedia.org/ontology/director>",1.1213,4.3287
"<http://dbpedia.org/property/products>",1.2816,1.3788
"<http://dbpedia.org/property/nationality>",1.0119,27.039641203703702
"<http://dbpedia.org/ontology/deathDate>",1.4747,5.035
"<http://dbpedia.org/property/industry>",1.0448,2.054554812146166
"(<http://dbpedia.org/ontology/wikiPageRedirects>)*",-1.0,-1.0
"<http://dbpedia.org/ontology/influencedBy>",3.177587844254511,2.3225
"<http://dbpedia.org/ontology/industry>",1.2472,7.811454787627645
"<http://dbpedia.org/ontology/influenced>",3.2773460848774656,1.4897432414074174
"<http://dbpedia.org/property/parent>",1.1186287192755497,1.7504048582995952
"<http://dbpedia.org/property/owner>",1.1098,1.3787
"<http://dbpedia.org/property/year>",2.1763,45.438185808339426
"<http://dbpedia.org/ontology/subsidiary>",2.4464367816091954,1.0462052693668895
"<http://dbpedia.org/ontology/owner>",1.1344,3.3165
"<http://dbpedia.org/ontology/parent>",1.5401,1.5278
"<http://dbpedia.org/ontology/owningCompany>",1.2152,2.488810145468109
"<http://dbpedia.org/property/companyName>",1.0,1.0063694267515924
"<http://dbpedia.org/property/owningCompany>",1.0,1.0
"<http://dbpedia.org/property/birthDate>",1.0024,2.5725
"<http://dbpedia.org/property/subsid>",1.9154539154539154,1.0135680234690136
"<http://dbpedia.org/ontology/product>",2.769,3.2189
"<http://xmlns.com/foaf/0.1/page>",1.0062034739454093,1.0237313809644029
"<http://dbpedia.org/property/director>",1.1643,1.4421
"<http://dbpedia.org/ontology/division>",1.0526,40.688729874776385
"<http://www.w3.org/2003/01/geo/wgs84_pos#geometry>",1.054,1.07
"<http://dbpedia.org/ontology/activeYearsStartYear>",1.0021,121.68672397325692
"<http://dbpedia.org/property/ethnicity>",1.068056943056943,2.3536048431480463
"<http://dbpedia.org/property/demonym>",1.0333889816360602,1.2048661800486618
"<http://dbpedia.org/ontology/demonym>",1.2431941923774954,1.0703125
"<http://dbpedia.org/property/populationDemonym>",1.0355,1.1003991403131717
"<file:///Users/ansk/dev/thesis/populationDemonymTitle>",0.0,0.0
"<http://dbpedia.org/property/influences>",2.229327453142227,1.2481481481481482
"<http://dbpedia.org/property/influenced>",1.7322970639032815,1.121923937360179
"<http://dbpedia.org/property/museum>",1.0180995475113122,1.6363636363636365
"<http://dbpedia.org/property/deathDate>",1.005,2.0318
"<http://dbpedia.org/ontology/author>",1.19,2.6114
"<http://xmlns.com/foaf/0.1/givenName>",1.0168,33.5708
"<http://xmlns.com/foaf/0.1/surname>",1.0,5.1665
"<http://dbpedia.org/property/placeOfBirth>",1.3482142857142858,1.143939393939394
"<http://dbpedia.org/property/dateOfBirth>",1.0095238095238095,1.06
"<http://dbpedia.org/property/dateOfDeath>",1.0,1.0
"<http://dbpedia.org/ontology/writer>",1.7442,3.5404
"<http://dbpedia.org/property/hasPhotoCollection>",0.0,0.0
"<http://dbpedia.org/property/genre>",1.6611,3.8518
"<http://purl.org/dc/elements/1.1/description>",1.0361111111111112,1.0247252747252746
"<http://dbpedia.org/ontology/foundedBy>",1.2383,1.1281
"<http://dbpedia.org/ontology/wikiPageExternalLink>",3.0469,1.2172
"<http://dbpedia.org/ontology/literaryGenre>",1.3675,18.37641866330391
"<http://dbpedia.org/ontology/releaseDate>",1.1082,5.7049
"<http://xmlns.com/foaf/0.1/primaryTopic>",1.0,1.0
"<http://dbpedia.org/ontology/language>",1.3728,25.314285714285713
"<http://dbpedia.org/ontology/series>",1.0765,6.940581542351453
"<http://dbpedia.org/property/numberInSeries>",0.0,0.0
"<http://dbpedia.org/ontology/hometown>",1.8055,8.414
"<http://dbpedia.org/ontology/facultySize>",1.0362961435347495,7.411504424778761
"<http://dbpedia.org/ontology/date>",1.0902,1.2372
"<http://dbpedia.org/ontology/endowment>",1.012029288702929,1.2663612565445026
"<http://dbpedia.org/property/classis>",1.01067615658363,1.680473372781065
"<http://dbpedia.org/ontology/startDate>",1.0288,2.240647330811265
"<http://dbpedia.org/ontology/birthYear>",1.001,111.60878661087867
"<http://www.w3.org/2000/01/rdf-schema#seeAlso>",2.3094,2.0447
"(<http://dbpedia.org/ontology/wikiPageRedirects>)*/<http://dbpedia.org/ontology/thumbnail>",1.0,5.376
"(<http://dbpedia.org/ontology/wikiPageRedirects>)*/<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>",1.0,1678064.6666666667
"<http://dbpedia.org/property/populationCensus>",1.0046948356807512,1.014218009478673
"<http://dbpedia.org/ontology/class>",1.0561,121.06704119850187
"<http://dbpedia.org/property/country>",1.0484,67.36336611022182
"<http://dbpedia.org/property/occupation>",1.2409,2.3481
"<http://dbpedia.org/ontology/deathPlace>",1.4053,19.9747
"<http://www.w3.org/ns/prov#wasDerivedFrom>",1.0,1.0
"<http://dbpedia.org/ontology/wikiPageRevisionID>",1.0,1.0
"<http://dbpedia.org/property/gdpNominal>",1.0,1.0160642570281124
"<http://dbpedia.org/property/gdpNominalYear>",1.0,22.272727272727273
"<http://dbpedia.org/property/reference>",11.306049822064058,1.2106
"<http://www.w3.org/2004/02/skos/core#prefLabel>",1.0,1.0
"<http://dbpedia.org/ontology/numberOfEmployees>",1.0237,4.447017104714226
"<http://dbpedia.org/ontology/foundingDate>",1.0792,1.5225
"<http://www.w3.org/2004/02/skos/core#subject>",0.0,0.0
"<http://dbpedia.org/ontology/postalCode>",1.0071,2.1547
"<http://www.w3.org/2002/07/owl#equivalentClass>",1.002,1.0004
"<http://dbpedia.org/property/website>",1.0346,1.072
"<http://dbpedia.org/ontology/viafId>",1.022378516624041,1.007561436672968
"<http://dbpedia.org/property/image>",2.5293,1.696
"<http://dbpedia.org/ontology/type>",1.0541,39.2019
"<http://dbpedia.org/ontology/nationality>",1.0351,51.44737879385101
"<http://www.georss.org/georss/point>",1.0484,1.0705
"<http://dbpedia.org/property/birthPlace>",1.4744,3.1165
"<http://dbpedia.org/property/populationEstimate>",1.0454545454545454,1.0454545454545454
"<http://dbpedia.org/ontology/foundingYear>",1.0332,66.80308596620132
"<http://dbpedia.org/ontology/runtime>",1.0671,30.758380984415293
"<http://dbpedia.org/ontology/team>",1.6721,68.0435
"<http://dbpedia.org/ontology/spouse>",1.1824,1.0794
"<http://dbpedia.org/property/successor>",1.1624,1.2497
"<http://dbpedia.org/ontology/distributor>",1.1444,9.147082549072332
"<http://dbpedia.org/ontology/producer>",1.4706,7.0209
"<http://dbpedia.org/ontology/lccnId>",1.0339366515837105,1.0066079295154184
"<http://dbpedia.org/ontology/almaMater>",1.5991,9.6808
"<http://dbpedia.org/property/width>",1.3365,19.25729517396184
"<http://dbpedia.org/ontology/locationCity>",1.4189,3.64612911867131
"<http://dbpedia.org/property/father>",1.0880067212770426,1.1583184257602863
"<http://dbpedia.org/property/shortDescription>",1.0,1.0317460317460319
"<http://dbpedia.org/property/s>",2.512,1.4761
"<http://dbpedia.org/property/mother>",1.0653094685066267,1.1765504753282028
"<http://dbpedia.org/ontology/leaderName>",1.4415,2.211444956987907
"<http://dbpedia.org/property/type>",1.1375,23.2984
"<http://dbpedia.org/ontology/profession>",1.3962,8.196531791907514
"<http://dbpedia.org/property/cover>",1.0193,1.0307
"<http://dbpedia.org/property/routesOfAdministration>",1.098067287043665,5.335652173913044
"<http://dbpedia.org/ontology/drugbank>",1.0,1.0148791072535648
"<http://dbpedia.org/ontology/pubchem>",1.000575926281436,1.001344860710855
"<http://dbpedia.org/property/o>",1.6382059800664452,5.760514018691588
"<http://dbpedia.org/property/molecularWeight>",1.0057803468208093,1.169450101832994
"<http://dbpedia.org/property/proteinBound>",1.0195852534562213,2.8733766233766236
"<http://dbpedia.org/property/n>",3.0357,6.788903337667967
"<http://dbpedia.org/property/legalUs>",1.00374531835206,14.88888888888889
"<http://dbpedia.org/property/bioavailability>",1.0399002493765586,2.116751269035533
"<http://dbpedia.org/property/pregnancyUs>",1.0,140.0
"<http://dbpedia.org/property/c>",1.3886,2.0902
"<http://dbpedia.org/ontology/casNumber>",1.0007215007215007,1.0063486305097042
"<http://dbpedia.org/property/verifiedrevid>",1.0002,1.0094
"<http://dbpedia.org/property/isoRegion>",1.0002478929102627,11.208333333333334
"<http://dbpedia.org/property/chemspiderid>",1.0025445292620865,1.1106934786694231
"<http://dbpedia.org/property/legalStatus>",1.0410677618069815,3.7695167286245352
"<http://dbpedia.org/ontology/atcSuffix>",1.000741289844329,3.103448275862069
"<http://dbpedia.org/property/synonyms>",1.2046,1.0226
"<http://dbpedia.org/property/smiles>",1.0058791107844938,1.284909645623093
"<http://dbpedia.org/property/iupacName>",1.0324324324324323,1.9489795918367347
"<http://dbpedia.org/property/pregnancyCategory>",1.021097046413502,3.811023622047244
"<http://dbpedia.org/property/atcSuffix>",1.0,1.1290322580645162
"<http://dbpedia.org/property/excretion>",1.0667793744716823,3.438692098092643
"<http://dbpedia.org/property/pubchem>",1.0265486725663717,1.0175438596491229
"<http://dbpedia.org/property/eliminationHalfLife>",1.05932762030323,3.1884920634920637
"<http://dbpedia.org/property/unii>",1.0087719298245614,1.1734693877551021
"<http://dbpedia.org/property/drugbank>",1.0135135135135136,1.0135135135135136
"<http://dbpedia.org/ontology/atcPrefix>",1.0002128565346957,43.91588785046729
"<http://dbpedia.org/property/atcPrefix>",1.0,2.9342105263157894
